platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type,start_date,end_date,year,week_number
twitch,kaicenat,KaiCenat,641972806,5766473,160142,88602,3905,244078,29124552,Fortnite,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male,2024-12-23,2024-12-29,2024,52
twitch,rtainjapan,RTAinJapan,134850221,4550839,90341,40067,6815,16054,7701074,Pokémon Sun/Moon,https://static-cdn.jtvnw.net/jtv_user_pictures/rtainjapan-profile_image-056f5f8ac3ad9fae-300x300.png,JP,ja,partner,Organization,2024-12-23,2024-12-29,2024,52
twitch,quin69,Quin69,56649026,1830843,25338,10942,10040,3018,1968527,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/2f5addde-fd0d-4a10-82a9-ea91ebb17f8d-profile_image-300x300.png,NZ,en,partner,Male,2024-12-23,2024-12-29,2024,52
twitch,vedal987,vedal987,85498365,1666912,26655,9963,10040,18579,3548183,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/dd956f46-3776-4dfd-8bc3-e4f74c5ede67-profile_image-300x300.png,UK,en,partner,Female,2024-12-23,2024-12-29,2024,52
twitch,eliasn97,eliasn97,238813810,1169628,48901,28072,2500,-5652,846333,ELDEN RING,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male,2024-12-23,2024-12-29,2024,52
twitch,piratesoftware,PirateSoftware,151368796,1151110,23538,13107,5270,12864,2258207,Ashes of Creation,https://static-cdn.jtvnw.net/jtv_user_pictures/9a1edcb1-7d62-48ab-b071-1ef64ab0f629-profile_image-300x300.png,US,en,partner,Male,2024-12-23,2024-12-29,2024,52
twitch,summit1g,summit1g,26490481,1146408,25099,11749,5855,1970,2552852,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png,US,en,partner,Male,2024-12-23,2024-12-29,2024,52
twitch,hasanabi,HasanAbi,207813352,1095621,38781,23026,2855,2835,3259979,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male,2024-12-23,2024-12-29,2024,52
twitch,marvelrivals,MarvelRivals,993419763,1079725,21423,6598,9820,66509,2708780,Marvel Rivals,https://static-cdn.jtvnw.net/jtv_user_pictures/ab8ad319-35ca-45ef-9c71-beb4888b69df-profile_image-300x300.png,,en,partner,Organization,2024-12-23,2024-12-29,2024,52
twitch,zackrawrr,zackrawrr,552120296,1065921,42926,30897,2070,3922,2030013,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png,US,en,partner,Male,2024-12-23,2024-12-29,2024,52
twitch,voodoosh,VooDooSh,87481167,1047947,22522,14242,4415,2274,8049164,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/c587ab08-3356-40d4-92d6-be1b1a47ba55-profile_image-300x300.png,RU,ru,partner,Male,2024-12-23,2024-12-29,2024,52
twitch,caseoh_,caseoh_,267160288,1047291,71816,50472,1245,41381,4040107,Games + Demos,https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-300x300.png,US,en,partner,Male,2024-12-23,2024-12-29,2024,52
twitch,kato_junichi0817,うん〇ちゃん,545050196,920224,44960,20263,2725,862,3493857,Dead by Daylight,https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-300x300.png,JP,ja,partner,Male,2024-12-23,2024-12-29,2024,52
