platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type,start_date,end_date,year,week_number
twitch,fps_shaka,fps_shaka,49207184,2505789,69745,35460,4240,4212,9890464,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png,JP,ja,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,quin69,Quin69,56649026,2383939,31463,14226,10055,11725,2421394,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/2f5addde-fd0d-4a10-82a9-ea91ebb17f8d-profile_image-300x300.png,NZ,en,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,necros,Necros,129625799,2293524,27040,15351,8965,67823,7581331,Marvel Rivals,https://static-cdn.jtvnw.net/jtv_user_pictures/d129a627-ea3f-4188-af1e-c30e2a1725c9-profile_image-300x300.png,RS,en,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,pgl,PGL,21681549,2077168,231803,69048,1805,21236,7297259,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/ee30e9be-290d-4994-8760-a3ed0ad37342-profile_image-300x300.png,RO,en,partner,Organization,2024-12-09,2024-12-15,2024,50
twitch,zackrawrr,zackrawrr,552120296,1990060,114513,42342,2820,14853,4613192,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png,US,en,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,eliasn97,eliasn97,238813810,1881793,208614,50182,2250,4971,776497,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,darumaisgod,だるまいずごっど,132004305,1790170,58965,41392,2595,6575,6492462,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/18db511f-1a5d-4a94-a7c9-27d321ad2db7-profile_image-300x300.png,JP,ja,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,kato_junichi0817,うん〇ちゃん,545050196,1773959,43563,21569,4935,1113,5490989,Dead by Daylight,https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-300x300.png,JP,ja,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,evelone2004,evelone2004,738000896,1739173,217898,68428,1525,36559,8377288,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/4af340ba-8d13-44e8-9e72-14c4c86d1f20-profile_image-300x300.png,RU,ru,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,ludwig,Ludwig,40934651,1718392,38541,16011,6440,68070,5426357,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/bde8aaf5-35d4-4503-9797-842401da900f-profile_image-300x300.png,US,en,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,hasanabi,HasanAbi,207813352,1618442,61770,29338,3310,4039,4134531,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,caedrel,Caedrel,92038375,1575331,263280,90885,1040,22567,3774780,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-300x300.png,UK,en,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,shadowkekw,shadowkekw,465131731,1519541,310954,99101,920,74969,6563480,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/55a5e785-9c08-47f5-bcff-895224deb51f-profile_image-300x300.png,RU,ru,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,loltyler1,loltyler1,51496027,1445517,41385,18070,4800,4915,3977194,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-300x300.png,US,en,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,stableronaldo,stableronaldo,246450563,1424191,51743,24346,3510,25078,6161194,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/9aea787b-a758-4ffa-b4b0-b8c3e75f6231-profile_image-300x300.png,US,en,partner,Male,2024-12-09,2024-12-15,2024,50
twitch,dariomocciatwitch,DarioMocciaTwitch,53065331,1421027,28525,8502,10030,6566,4714022,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/73633088-8b11-4dad-b4ae-065f64f3a585-profile_image-300x300.png,IT,it,partner,Male,2024-12-09,2024-12-15,2024,50
