platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type,start_date,end_date,year,week_number
twitch,gamesdonequick,GamesDoneQuick,22510310,8148410,90594,52374,9335,22832,9014423,The Legend of Zelda: Ocarina of Time,https://static-cdn.jtvnw.net/jtv_user_pictures/b3fc1f16-0818-4121-8711-c31b9469bc21-profile_image-300x300.png,US,en,partner,Organization,2025-01-06,2025-01-12,2025,2
twitch,sodapoppin,sodapoppin,26301881,2658749,48415,16050,9940,5705,3802912,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2
twitch,evelone2004,evelone2004,738000896,1816317,192204,62274,1750,42290,8839511,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/4af340ba-8d13-44e8-9e72-14c4c86d1f20-profile_image-300x300.png,UA,ru,without status,Male,2025-01-06,2025-01-12,2025,2
twitch,kaicenat,KaiCenat,641972806,1711703,101955,76931,1335,73118,10098785,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2
twitch,eliasn97,eliasn97,238813810,1657017,76367,31070,3200,4152,2904695,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male,2025-01-06,2025-01-12,2025,2
twitch,timthetatman,TimTheTatman,36769016,1538774,59101,26156,3530,33882,4339449,Marvel Rivals,https://static-cdn.jtvnw.net/jtv_user_pictures/7dcd89d5-6700-4b05-b9c9-c7dac61c32db-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2
twitch,vedal987,vedal987,85498365,1532450,20228,9317,9870,16028,2481254,The Long Drive,https://static-cdn.jtvnw.net/jtv_user_pictures/dd956f46-3776-4dfd-8bc3-e4f74c5ede67-profile_image-300x300.png,UK,en,partner,Male,2025-01-06,2025-01-12,2025,2
twitch,caedrel,Caedrel,92038375,1465215,48836,30686,2865,7215,3787330,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-300x300.png,DE,en,partner,Male,2025-01-06,2025-01-12,2025,2
twitch,hasanabi,HasanAbi,207813352,1464099,66087,29089,3020,-6460,3963940,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male,2025-01-06,2025-01-12,2025,2
twitch,caseoh_,caseoh_,267160288,1460344,79002,58806,1490,68710,5857766,Schoolboy Runaway,https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-300x300.png,US,en,partner,Male,2025-01-06,2025-01-12,2025,2
