platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type,start_date,end_date,year,week_number
twitch,sodapoppin,sodapoppin,26301881,3361860,60762,22652,8905,12783,8801390,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-300x300.png,US,en,partner,Male,2024-12-30,2025-01-05,2025,1
twitch,kaicenat,KaiCenat,641972806,1783211,145393,94685,1130,98285,7357795,Fortnite,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male,2024-12-30,2025-01-05,2025,1
twitch,vedal987,vedal987,85498365,1752779,45605,10502,10015,22226,3743699,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/dd956f46-3776-4dfd-8bc3-e4f74c5ede67-profile_image-300x300.png,UK,en,partner,Male,2024-12-30,2025-01-05,2025,1
twitch,aminematue,aminematue,407388596,1539729,80252,45622,2025,23532,5667725,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/13e55cbe-a1b0-4f4c-b69b-2748274b9e48-profile_image-300x300.png,FR,fr,partner,Male,2024-12-30,2025-01-05,2025,1
twitch,eliasn97,eliasn97,238813810,1497289,54201,26738,3360,7198,1491171,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male,2024-12-30,2025-01-05,2025,1
twitch,evelone2004,evelone2004,738000896,1473643,170093,56862,1555,36774,5325418,Counter-Strike,https://static-cdn.jtvnw.net/jtv_user_pictures/4af340ba-8d13-44e8-9e72-14c4c86d1f20-profile_image-300x300.png,RU,ru,without status,Male,2024-12-30,2025-01-05,2025,1
twitch,rtainjapan,RTAinJapan,134850221,1468822,81715,47510,1855,5005,2167874,Kingdom Hearts Final Mix,https://static-cdn.jtvnw.net/jtv_user_pictures/rtainjapan-profile_image-056f5f8ac3ad9fae-300x300.png,JA,ja,partner,Organization,2024-12-30,2025-01-05,2025,1
twitch,k3soju,k3soju,128293484,1438710,23849,17146,5035,4276,2238163,Teamfight Tactics,https://static-cdn.jtvnw.net/jtv_user_pictures/50e4e7b2-ae1c-43dd-ae3a-243de06a9034-profile_image-300x300.png,US,en,partner,Male,2024-12-30,2025-01-05,2025,1
twitch,papaplatte,Papaplatte,50985620,1430651,66477,33532,2560,14976,3957805,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/04abc1b4-7bad-4b55-8da8-c0f1cf031bda-profile_image-300x300.png,DE,de,partner,Male,2024-12-30,2025-01-05,2025,1
twitch,lvndmark,LVNDMARK,427632467,1418064,63803,25981,3275,6198,2135014,Escape from Tarkov,https://static-cdn.jtvnw.net/jtv_user_pictures/8dcaf96d-68ee-4fc6-bfdc-fdfc564e134a-profile_image-300x300.png,US,en,partner,Male,2024-12-30,2025-01-05,2025,1
