platform,channel_name,channel_display_name,channel_id,hours_watched,peak_viewers,average_viewers,airtime_in_m,followers_gain,live_views,last_streamed_game,avatar_url,channel_country,stream_language,partnership_status,channel_type,start_date,end_date,year,week_number
twitch,montanablack88,MontanaBlack88,45044816,2569688,262562,117249,1315,29440,792329,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/6f36c08a-6f7d-40f1-a9e8-12eee2ff0f93-profile_image-300x300.png,DE,de,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,quin69,Quin69,56649026,2045536,26264,12207,10055,8958,3045371,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/2f5addde-fd0d-4a10-82a9-ea91ebb17f8d-profile_image-300x300.png,NZ,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,lacy,Lacy,494543675,1713493,46322,15031,6840,26856,13972649,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/701f5110-3812-42e0-8659-42dd8cf66e07-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,kaicenat,KaiCenat,641972806,1516124,230664,129032,705,58065,9152945,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/1d8cd548-04fa-49fb-bfcd-f222f73482b6-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,sodapoppin,sodapoppin,26301881,1367546,52003,21824,3760,2398,3516886,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/fc7b15b2-e400-4e74-8c8b-2ad3725e5770-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,kato_junichi0817,うん〇ちゃん,545050196,1343120,56138,26466,3045,229,4862806,Apex Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/a4977cfd-1962-41ec-9355-ab2611b97552-profile_image-300x300.png,JP,ja,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,caseoh_,caseoh_,267160288,1308956,73435,52888,1485,44985,5260614,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/ef28ba12-c8ed-46d4-838b-a4c95ef5b469-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,loltyler1,loltyler1,51496027,1275580,76812,22544,3395,5131,3667188,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/f3591dbe4ee3d94b-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,hasanabi,HasanAbi,207813352,1233535,39096,25522,2900,3258,3640214,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/0347a9aa-e396-49a5-b0f1-31261704bab8-profile_image-300x300.jpeg,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,k4sen,k4sen,44525650,1126387,39750,21593,3130,3895,3972115,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/794e906d-64d7-41ab-bb89-8fb159e4124b-profile_image-300x300.png,JP,ja,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,zizaran,Zizaran,36483360,1120955,15649,6690,10055,13979,1581910,Path of Exile 2,https://static-cdn.jtvnw.net/jtv_user_pictures/zizaran-profile_image-d534b9791c469a48-300x300.png,NO,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,caedrel,Caedrel,92038375,1102795,36806,20052,3300,8551,3803741,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/483a37ac-58fd-4e2f-8dc3-2c68a0164112-profile_image-300x300.png,UK,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,plaqueboymax,plaqueboymax,672238954,1078198,51277,20636,3135,27875,3825999,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/265cfea1-8c9e-4ea2-9329-8f72601bbdf1-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,vedal987,vedal987,85498365,1042148,37229,13579,4605,13042,1476964,Minecraft,https://static-cdn.jtvnw.net/jtv_user_pictures/dd956f46-3776-4dfd-8bc3-e4f74c5ede67-profile_image-300x300.png,UK,en,partner,Female,2024-12-16,2024-12-22,2024,51
twitch,zackrawrr,zackrawrr,552120296,1024509,45201,32698,1880,4543,2118828,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/a9ce83ba-c0bd-49cc-83bd-9d17647a211a-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,fps_shaka,fps_shaka,49207184,999358,41741,17689,3390,1918,4890716,Street Fighter 6,https://static-cdn.jtvnw.net/jtv_user_pictures/61f568bf-884b-4126-b17c-fc525c6d3bd4-profile_image-300x300.png,JP,ja,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,papaplatte,Papaplatte,50985620,981949,55314,31591,1865,7248,2848848,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/04abc1b4-7bad-4b55-8da8-c0f1cf031bda-profile_image-300x300.png,DE,de,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,shroud,shroud,37402112,978755,28062,14963,3925,5990,3325364,Marvel Rivals,https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-300x300.png,CA,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,summit1g,summit1g,26490481,973896,18519,10007,5840,634,1888271,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,evelone2004,evelone2004,738000896,935545,67095,37548,1495,27617,2768926,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/4af340ba-8d13-44e8-9e72-14c4c86d1f20-profile_image-300x300.png,RU,ru,without status,Male,2024-12-16,2024-12-22,2024,51
twitch,stableronaldo,stableronaldo,246450563,921860,38107,20005,2765,16716,5129133,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/9aea787b-a758-4ffa-b4b0-b8c3e75f6231-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,eliasn97,eliasn97,238813810,900824,45723,26560,2035,10373,931891,Special Events,https://static-cdn.jtvnw.net/jtv_user_pictures/4fb94c7a-b4c0-4ed1-9782-b630a59915d5-profile_image-300x300.png,DE,de,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,piratesoftware,PirateSoftware,151368796,891346,26851,12997,4115,10958,1791285,Ashes of Creation,https://static-cdn.jtvnw.net/jtv_user_pictures/9a1edcb1-7d62-48ab-b071-1ef64ab0f629-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,jasontheween,jasontheween,107117952,859303,30195,15648,3295,3825,4560675,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/a04be2b0-9cc1-403c-a4b0-47b32d1fe640-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,ilrossopiubelloditwitch,ilrossopiubelloditwitch,821717189,848306,36396,5129,9925,7990,4073378,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/f8ea89e1-37b0-46d4-88d5-713cf6dc8511-profile_image-300x300.png,IT,it,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,dakillzor,Dakillzor,25722719,845356,13248,5045,10055,2309,328971,World of Tanks,https://static-cdn.jtvnw.net/jtv_user_pictures/ba5e4714-b7dd-43f5-9c62-df0c91647482-profile_image-300x300.png,BE,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,tck10,TcK10,499928989,831366,20097,8654,5765,10914,2640632,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/4e24a619-4154-4d58-b8af-fc4dad46d521-profile_image-300x300.png,BR,pt,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,paulinholokobr,PaulinhoLOKObr,531177917,796988,54483,32202,1485,18418,3091895,Grand Theft Auto V,https://static-cdn.jtvnw.net/jtv_user_pictures/d96bbd7a-26e5-4c5e-b6a5-149d708a973b-profile_image-300x300.png,BR,pt,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,mooda,mooda,567928581,783096,14167,4723,9950,19934,3818370,VALORANT,https://static-cdn.jtvnw.net/jtv_user_pictures/a54fbe1c-2719-4f79-bcd6-ef9b2fdb2257-profile_image-300x300.png,CA,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,fanum,Fanum,139251406,724655,49654,17085,2545,35217,4345741,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/730415ce-12c3-455f-8218-dfff65238c5b-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,quickybaby,QuickyBaby,30623831,691193,23540,10460,3965,1647,878195,World of Tanks,https://static-cdn.jtvnw.net/jtv_user_pictures/ac368118-71cb-4340-be81-afa99abafdba-profile_image-300x300.png,UK,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,xqc,xQc,71092938,688486,42767,24444,1690,804,2014558,Marvel Rivals,https://static-cdn.jtvnw.net/jtv_user_pictures/xqc-profile_image-9298dca608632101-300x300.jpeg,CA,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,mokrysuchar,MokrySuchar,91438833,681440,17161,10034,4075,7803,1838897,IRL,https://static-cdn.jtvnw.net/jtv_user_pictures/mokrysuchar-profile_image-96ef4945afd7488c-300x300.png,PL,pl,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,mizkif,Mizkif,94753024,657321,30810,17847,2210,1035,1627459,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/ddd88d33-6c4f-424f-9246-5f4978c93148-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,drakeoffc,drakeoffc,231922983,633140,21236,10553,3600,17861,1946489,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/49507df3-23ed-4af2-8852-f0f5e043cb79-profile_image-300x300.png,RU,ru,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,timthetatman,TimTheTatman,36769016,632684,44094,16293,2330,21314,2327469,Marvel Rivals,https://static-cdn.jtvnw.net/jtv_user_pictures/7dcd89d5-6700-4b05-b9c9-c7dac61c32db-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,kamet0,Kamet0,27115917,632208,46851,17851,2125,2033,2259465,League of Legends,https://static-cdn.jtvnw.net/jtv_user_pictures/9e12862d-a8d0-4df2-81aa-e2241022dc98-profile_image-300x300.jpg,FR,fr,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,clix,Clix,233300375,631161,49530,15427,2455,22443,3812572,Fortnite,https://static-cdn.jtvnw.net/jtv_user_pictures/6f4129f6-3750-4c02-b7c8-c88a05064129-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,k3soju,k3soju,128293484,630498,19519,13023,2905,1933,989580,Teamfight Tactics,https://static-cdn.jtvnw.net/jtv_user_pictures/50e4e7b2-ae1c-43dd-ae3a-243de06a9034-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,luquet4,LuquEt4,267635380,594392,33771,15746,2265,10098,4012900,Poker,https://static-cdn.jtvnw.net/jtv_user_pictures/0863a8b0-7fdb-44a9-8212-680cfbaa38f9-profile_image-300x300.png,BR,pt,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,jynxzi,Jynxzi,411377640,589978,48859,23838,1485,24605,2809771,Fortnite,https://static-cdn.jtvnw.net/jtv_user_pictures/645d98a0-a2eb-48a3-b687-cfbc55243e4a-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,emiru,Emiru,91067577,583897,59006,18343,1910,14695,1737856,World of Warcraft,https://static-cdn.jtvnw.net/jtv_user_pictures/c9f74581-c0e8-4638-8629-51dbfe401335-profile_image-300x300.png,US,en,partner,Female,2024-12-16,2024-12-22,2024,51
twitch,necros,Necros,129625799,576738,40381,9600,3605,28165,2557968,Marvel Rivals,https://static-cdn.jtvnw.net/jtv_user_pictures/d129a627-ea3f-4188-af1e-c30e2a1725c9-profile_image-300x300.png,RS,en,partner,Male,2024-12-16,2024-12-22,2024,51
twitch,deshaefrost,DeshaeFrost,687186861,566953,13396,3387,10045,28978,3706241,Just Chatting,https://static-cdn.jtvnw.net/jtv_user_pictures/7d1df2bc-3627-4fc1-ba51-26190738d6f3-profile_image-300x300.png,US,en,partner,Male,2024-12-16,2024-12-22,2024,51
